position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1,1,ICBC,icbc,icbc,Major Banks,China,151381.0,229805.0,China,,Jian Jiang,,41983.7,3473238.0,
2,2,China Construction Bank,china-construction-bank,china-construction-bank,Major Banks,China,134242.0,200458.0,China,,You Guo,,34981.4,3016578.0,
3,3,Berkshire Hathaway,berkshire-hathaway,berkshire-hathaway,Investment Services,United States,222935.0,409908.0,Nebraska,Nebraska,Warren Edward Buffett,,24074.0,620854.0,
4,4,JPMorgan Chase,jpmorgan-chase,jpmorgan-chase,Major Banks,United States,102494.0,306616.0,New York,New York,Jamie Dimon,,24231.0,2512986.0,
5,5,Wells Fargo,wells-fargo,wells-fargo,Major Banks,United States,97573.0,274385.0,California,California,Timothy J. Sloan,http://specials-images.forbesimg.com/imageserve/5810c30ea7ea435b91b0839a/280x425.jpg?fit=scale&background=000000,21938.0,1943443.0,http://specials-images.forbesimg.com/imageserve/5810c30ea7ea435b91b0839a/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
6,6,Agricultural Bank of China,agricultural-bank-of-china,agricultural-bank-of-china,Regional Banks,China,115698.0,149229.0,China,,Ying Che,,27797.5,2816039.0,
7,7,Bank of America,bank-of-america,bank-of-america,Major Banks,United States,92214.0,231876.0,North Carolina,North Carolina,Brian T. Moynihan,http://specials-images.forbesimg.com/imageserve/580f8de131358e23831614c5/280x425.jpg?fit=scale&background=000000,16563.0,2196847.0,http://specials-images.forbesimg.com/imageserve/580f8de131358e23831614c5/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
8,8,Bank of China,bank-of-china,bank-of-china,Major Banks,China,113107.0,141321.0,China,,Chen Siqing,,24856.6,2611539.0,
9,9,Apple,apple,apple,Computer Hardware,United States,217481.0,752039.0,California,California,Tim Cook,http://specials-images.forbesimg.com/imageserve/580f8c9e31358e238316147e/280x425.jpg?fit=scale&background=000000,45217.0,331141.0,//specials-images.forbesimg.com/imageserve/580f8c9e31358e238316147e/416x416.jpg?background=000000&cropX1=267&cropX2=971&cropY1=287&cropY2=991
10,10,Toyota Motor,toyota-motor,toyota-motor,Auto & Truck Manufacturers,Japan,249902.0,171850.0,Japan,,Takeshi Uchiyamada,http://specials-images.forbesimg.com/imageserve/5810bf154bbe6f0ad5da9e7c/280x425.jpg?fit=scale&background=000000,17111.5,412496.0,http://specials-images.forbesimg.com/imageserve/5810bf154bbe6f0ad5da9e7c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
11,11,AT&T,att,att,Telecommunications services,United States,163786.0,249286.0,Texas,Texas,Randall L. Stephenson,http://specials-images.forbesimg.com/imageserve/580f8d35a7ea435b91b07545/280x425.jpg?fit=scale&background=000000,12976.0,403821.0,http://specials-images.forbesimg.com/imageserve/57ff9f2931358e6da6d7e196/416x416.jpg?background=000000&cropX1=593&cropX2=3943&cropY1=7&cropY2=3358
12,12,Citigroup,citigroup,citigroup,Major Banks,United States,84038.0,164316.0,New York,New York,Mike L. Corbat,http://specials-images.forbesimg.com/imageserve/580f946131358e238316169c/280x425.jpg?fit=scale&background=000000,14717.0,1795099.0,http://specials-images.forbesimg.com/imageserve/580f946131358e238316169c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
13,13,ExxonMobil,exxon-mobil,exxon-mobil,Oil & Gas Operations,United States,197518.0,343165.0,Texas,Texas,Darren W. Woods,,7840.0,330314.0,
14,14,General Electric,general-electric,general-electric,Conglomerates,United States,119690.0,261174.0,Massachusetts,Massachusetts,Jeff Immelt,http://specials-images.forbesimg.com/imageserve/580f9978a7ea435b91b07740/280x425.jpg?fit=scale&background=000000,10020.0,365183.0,http://specials-images.forbesimg.com/imageserve/57fff2eca7ea4357a3e02864/416x416.jpg?background=000000&cropX1=789&cropX2=2559&cropY1=0&cropY2=1769
15,15,Samsung Electronics,samsung-electronics,samsung-electronics,Semiconductors,South Korea,173995.0,254303.0,South Korea,,Oh-Hyun Kwon,http://specials-images.forbesimg.com/imageserve/580fb655a7ea435b91b07b2d/280x425.jpg?fit=scale&background=000000,19320.7,217068.0,//specials-images.forbesimg.com/imageserve/580fb655a7ea435b91b07b2d/416x416.jpg?background=000000&cropX1=5&cropX2=458&cropY1=4&cropY2=457
16,16,Ping An Insurance Group,ping-an-insurance,ping-an-insurance,Diversified Insurance,China,106606.0,100811.0,China,,Ming Zhe Ma,,9460.3,801022.0,
17,17,Wal-Mart Stores,wal-mart-stores,wal-mart-stores,Discount Stores,United States,485252.0,221106.0,Arkansas,Arkansas,C. Douglas McMillon,http://specials-images.forbesimg.com/imageserve/5810c26531358e2383162149/280x425.jpg?fit=scale&background=000000,13643.0,198825.0,http://specials-images.forbesimg.com/imageserve/5810c26531358e2383162149/416x416.jpg?background=000000&cropX1=218&cropX2=1024&cropY1=275&cropY2=1081
18,18,Verizon Communications,verizon-communications,verizon-communications,Telecommunications services,United States,125980.0,198352.0,New York,New York,Lowell C. McAdam,http://specials-images.forbesimg.com/imageserve/5810c0f331358e2383162128/280x425.jpg?fit=scale&background=000000,13127.0,244180.0,http://specials-images.forbesimg.com/imageserve/5810c0f331358e2383162128/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
19,19,Microsoft,microsoft,microsoft,Software & Programming,United States,85270.0,507544.0,Washington,Washington,Satya Nadella,http://specials-images.forbesimg.com/imageserve/580faed131358e238316193a/280x425.jpg?fit=scale&background=000000,16768.0,224610.0,http://specials-images.forbesimg.com/imageserve/580faed131358e238316193a/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
20,20,Royal Dutch Shell,royal-dutch-shell,royal-dutch-shell,Oil & Gas Operations,Netherlands,234751.0,228793.0,Netherlands,,Ben van Beurden,,4650.7,411275.0,
21,21,Allianz,allianz,allianz,Diversified Insurance,Germany,115725.0,83721.0,Germany,,Oliver Bäte,http://specials-images.forbesimg.com/imageserve/580a3b6c4bbe6f0ad5da65f2/280x425.jpg?fit=scale&background=000000,7614.0,935871.0,http://specials-images.forbesimg.com/imageserve/580a3b6c4bbe6f0ad5da65f2/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
22,21,China Mobile,china-mobile,china-mobile,Telecommunications services,Hong Kong,106763.0,225308.0,Hong Kong,,Yue Li,,16423.4,218864.0,
23,23,BNP Paribas,bnp-paribas,bnp-paribas,Major Banks,France,74702.0,80499.0,France,,Jean-Laurent Bonnafé,,8370.6,2190672.0,
24,24,Alphabet,alphabet,alphabet,Computer Services,United States,89920.0,579499.0,California,California,Lawrence E. Page,,19478.0,167497.0,
25,25,China Petroleum & Chemical,china-petroleum-chemical,no-pic,Oil & Gas Operations,China,255722.0,105122.0,China,,Qingde Sun,,6986.6,216711.0,
26,26,Total,total,total,Oil & Gas Operations,France,128067.0,128122.0,France,,Patrick Pouyanné,,6156.1,230978.0,
27,27,AXA Group,axa-group,axa-group,Diversified Insurance,France,132153.0,60770.0,France,,Thomas Buberl,,6152.7,925854.0,
28,28,Daimler,daimler,daimler,Auto & Truck Manufacturers,Germany,169537.0,76099.0,Germany,,Dieter Zetsche,,9431.4,256292.0,
29,28,Volkswagen Group,volkswagen-group,volkswagen-group,Auto & Truck Manufacturers,Germany,240340.0,72941.0,Germany,,Matthias Müller,http://specials-images.forbesimg.com/imageserve/5810c1d5a7ea435b91b08375/280x425.jpg?fit=scale&background=000000,5690.3,458742.0,http://specials-images.forbesimg.com/imageserve/5810c1d5a7ea435b91b08375/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
30,30,Mitsubishi UFJ Financial,mitsubishi-ufj-financial,mitsubishi-ufj-financial,Major Banks,Japan,49173.0,83858.0,Japan,,Nobuyuki Hirano,,8154.5,2589758.0,
31,31,Comcast,comcast,comcast,Broadcasting & Cable,United States,80403.0,193528.0,Pennsylvania,Pennsylvania,Brian L. Roberts,,8695.0,180500.0,
32,32,Johnson & Johnson,johnson-johnson,johnson-johnson,Medical Equipment & Supplies,United States,71937.0,338644.0,New Jersey,New Jersey,Alex Gorsky,,16375.0,141208.0,
33,33,Banco Santander,banco-santander,banco-santander,Major Banks,Spain,48336.0,89409.0,Spain,,José Antonio Álvarez Álvarez,http://specials-images.forbesimg.com/imageserve/580fb6c84bbe6f0ad5da9615/280x425.jpg?fit=scale&background=000000,6862.8,1412442.0,http://specials-images.forbesimg.com/imageserve/580fb6c84bbe6f0ad5da9615/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
34,34,Bank of Communications,bank-of-communications,bank-of-communications,Major Banks,China,52995.0,62164.0,China,,Qing Hua,,10141.0,1209176.0,
35,34,Nestle,nestle,nestle,Food Processing,Switzerland,90816.0,229485.0,Switzerland,,Ulf Mark Schneider,http://specials-images.forbesimg.com/imageserve/580faf6fa7ea435b91b07a2c/280x425.jpg?fit=scale&background=000000,8659.4,129779.0,http://specials-images.forbesimg.com/imageserve/580faf6fa7ea435b91b07a2c/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
36,36,UnitedHealth Group,unitedhealth-group,unitedhealth-group,Managed Health Care,United States,184871.0,160185.0,Minnesota,Minnesota,Stephen J. Hemsley,,7237.0,125037.0,
37,37,Nippon Telegraph & Tel,nippon-tel-tel,nippon-tel-tel,Telecommunications services,Japan,104972.0,92230.0,Japan,,Hiroo Unoura,,7384.6,180257.0,
38,38,Itaú Unibanco Holding,itau-unibanco-holding,itau-unibanco-holding,Regional Banks,Brazil,61283.0,79208.0,Brazil,,Candido Botelho Bracher,,6673.6,419923.0,
39,38,Softbank,softbank,softbank,Telecommunications services,Japan,82136.0,78632.0,Japan,,Masayoshi Son,,8307.0,213204.0,
40,40,Gazprom,gazprom,gazprom,Oil & Gas Operations,Russia,91353.0,51815.0,Russia,,Alexei Borisovich Miller,,12141.2,265393.0,
41,40,General Motors,general-motors,general-motors,Auto & Truck Manufacturers,United States,166380.0,50792.0,Michigan,Michigan,Mary Teresa Barra,,9427.0,221690.0,
42,42,China Merchants Bank,china-merchants-bank,china-merchants-bank,Regional Banks,China,44491.0,66376.0,China,,Hui Yu Tian,,9381.4,855070.0,
43,43,IBM,ibm,ibm,Computer Services,United States,79918.0,162365.0,New York,New York,Ginni Rometty,http://specials-images.forbesimg.com/imageserve/5841f6d54bbe6f1f20e8435c/280x425.jpg?fit=scale&background=000000,11872.0,117470.0,http://specials-images.forbesimg.com/imageserve/5841f6d54bbe6f1f20e8435c/416x416.jpg?background=000000&cropX1=1223&cropX2=3623&cropY1=269&cropY2=2670
44,44,Royal Bank of Canada,royal-bank-of-canada,royal-bank-of-canada,Major Banks,Canada,35285.0,107205.0,Canada,,David I. McKay,http://specials-images.forbesimg.com/imageserve/580fb430a7ea435b91b07b06/280x425.jpg?fit=scale&background=000000,8348.5,891096.0,http://specials-images.forbesimg.com/imageserve/580fb430a7ea435b91b07b06/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
45,45,Japan Post Holdings,japan-post-holdings,japan-post-holdings,Life & Health Insurance,Japan,123728.0,55145.0,Japan,,Masatsugu Nagato,,3124.5,2522131.0,
46,46,Procter & Gamble,procter-gamble,procter-gamble,Household/Personal Care,United States,65231.0,228115.0,Ohio,Ohio,David S. Taylor,,9533.0,117033.0,
47,47,Pfizer,pfizer,pfizer,Pharmaceuticals,United States,52824.0,203070.0,New York,New York,Ian C. Read,,7131.0,171615.0,
48,48,HSBC Holdings,hsbc-holdings,hsbc-holdings,Major Banks,United Kingdom,62087.0,162638.0,United Kingdom,,Stuart Thomson Gulliver,http://specials-images.forbesimg.com/imageserve/5800e38a31358e6da6d7f39c/280x425.jpg?fit=scale&background=000000,2479.0,2374986.0,http://specials-images.forbesimg.com/imageserve/5800e38a31358e6da6d7f39c/416x416.jpg?background=000000&cropX1=994&cropX2=3371&cropY1=274&cropY2=2649
49,49,Goldman Sachs Group,goldman-sachs-group,goldman-sachs-group,Investment Services,United States,36854.0,90648.0,New York,New York,Lloyd Craig Blankfein,,7398.0,860165.0,
50,50,Siemens,siemens,siemens,Conglomerates,Germany,88354.0,109773.0,Germany,,Josef Kaeser,http://specials-images.forbesimg.com/imageserve/5841f75231358e698adb14c8/280x425.jpg?fit=scale&background=000000,6446.9,133141.0,http://specials-images.forbesimg.com/imageserve/5841f75231358e698adb14c8/416x416.jpg?background=000000&cropX1=1337&cropX2=4000&cropY1=6&cropY2=2667
51,51,BMW Group,bmw-group,bmw-group,Auto & Truck Manufacturers,Germany,104163.0,57732.0,Germany,,Harald Krüger,http://specials-images.forbesimg.com/imageserve/580f8f2631358e2383161506/280x425.jpg?fit=scale&background=000000,7591.8,210341.0,http://specials-images.forbesimg.com/imageserve/580f8f2631358e2383161506/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
52,52,China Life Insurance,china-life-insurance,china-life-insurance,Life & Health Insurance,China,82836.0,98104.0,China,,Zhi Xia,,2879.8,388746.0,
53,53,ING Group,ing-group,ing-group,Major Banks,Netherlands,53581.0,57932.0,Netherlands,,Ralph A. J. G. Hamers,,5117.3,891349.0,
54,54,Intel,intel,intel,Semiconductors,United States,59387.0,170350.0,California,California,Brian M. Krzanich,http://specials-images.forbesimg.com/imageserve/580fa6f3a7ea435b91b07888/280x425.jpg?fit=scale&background=000000,10316.0,113327.0,http://specials-images.forbesimg.com/imageserve/580fa6f3a7ea435b91b07888/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
55,55,Postal Savings Bank Of China,postal-savings-bank-of-china,no-pic,Major Banks,China,48036.0,55157.0,China,,,,6009.7,1189391.0,
56,56,Sberbank,sberbank,sberbank,Regional Banks,Russia,43044.0,63903.0,Russia,,Herman Oskarovich Gref,,8067.7,415579.0,
57,56,TD Bank Group,td-bank-group,td-bank-group,Major Banks,Canada,31874.0,92001.0,Canada,,Bharat B. Masrani,http://specials-images.forbesimg.com/imageserve/5a67bf314bbe6f2652f36244/280x425.jpg?fit=scale&background=000000,6933.8,910361.0,//specials-images.forbesimg.com/imageserve/5a67bf314bbe6f2652f36244/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
58,58,Cisco Systems,cisco-systems,cisco-systems,Communications Equipment,United States,48570.0,165059.0,California,California,Charles H. Robbins,http://specials-images.forbesimg.com/imageserve/580f9402a7ea435b91b0769c/280x425.jpg?fit=scale&background=000000,9832.0,126248.0,//specials-images.forbesimg.com/imageserve/580f9402a7ea435b91b0769c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
59,58,Commonwealth Bank,commonwealth-bank,commonwealth-bank,Major Banks,Australia,30930.0,109902.0,Australia,,Ian Mark Narev,,7065.2,703622.0,
60,60,Morgan Stanley,morgan-stanley,morgan-stanley,Investment Services,United States,37913.0,78286.0,New York,New York,James Patrick Gorman,,5975.0,815992.0,
61,61,Novartis,novartis,novartis,Pharmaceuticals,Switzerland,48520.0,193163.0,Switzerland,,"Joseph Jimenez, Jr.",,6699.6,130387.0,
62,62,Banco Bradesco,banco-bradesco,banco-bradesco,Regional Banks,Brazil,70150.0,53511.0,Brazil,,Luiz Carlos Trabuco Cappi,,4327.1,362432.0,
63,63,Industrial Bank,industrial-bank,industrial-bank,Major Banks,China,44297.0,45126.0,China,,Jian Gao,,8106.4,872100.0,
64,64,Ford Motor,ford-motor,ford-motor,Auto & Truck Manufacturers,United States,151800.0,44718.0,Michigan,Michigan,Jim Hackett,http://specials-images.forbesimg.com/imageserve/580f986f31358e238316173f/280x425.jpg?fit=scale&background=000000,4596.0,237951.0,http://specials-images.forbesimg.com/imageserve/57ffea6731358e6da6d7e98e/416x416.jpg?background=000000&cropX1=877&cropX2=4207&cropY1=0&cropY2=3328
65,64,Shanghai Pudong Development,shanghai-pudong-development,shanghai-pudong-development,Major Banks,China,40060.0,50451.0,China,,Guang Geng,,7992.6,842832.0,
66,66,CVS Health,cvs-health,cvs-health,Drug Retail,United States,177526.0,79839.0,Rhode Island,Rhode Island,Larry J. Merlo,http://specials-images.forbesimg.com/imageserve/580f968a4bbe6f0ad5da9215/280x425.jpg?fit=scale&background=000000,5291.0,94462.0,http://specials-images.forbesimg.com/imageserve/580f968a4bbe6f0ad5da9215/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
67,67,Walt Disney,walt-disney,walt-disney,Broadcasting & Cable,United States,54943.0,178017.0,California,California,Robert A. Iger,http://specials-images.forbesimg.com/imageserve/5841f66fa7ea431d601a658c/280x425.jpg?fit=scale&background=000000,8990.0,91576.0,http://specials-images.forbesimg.com/imageserve/5841f66fa7ea431d601a658c/416x416.jpg?background=000000&cropX1=686&cropX2=2906&cropY1=4&cropY2=2226
68,68,Prudential,prudential,prudential,Life & Health Insurance,United Kingdom,96936.0,53669.0,United Kingdom,,Mike Wells,http://specials-images.forbesimg.com/imageserve/5926e9854bbe6f1b730ab626/280x425.jpg?fit=scale&background=000000,2592.0,568951.0,//specials-images.forbesimg.com/imageserve/5926e9854bbe6f1b730ab626/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
69,69,Prudential Financial,prudential-financial,prudential-financial,Life & Health Insurance,United States,56333.0,45559.0,New Jersey,New Jersey,"John Robert Strangfeld, Jr., CFA",,4318.0,783962.0,
70,70,Oracle,oracle,oracle,Software & Programming,United States,37429.0,182239.0,California,California,"Safra A. Catz, Mark Hurd",http://specials-images.forbesimg.com/imageserve/580fb135a7ea435b91b07a84/280x425.jpg?fit=scale&background=000000,8917.0,125382.0,http://specials-images.forbesimg.com/imageserve/580fb135a7ea435b91b07a84/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
71,71,China State Construction Engineering,china-state-construction-engineering,china-state-construction-engineering,Construction Services,China,140824.0,43181.0,China,,Qing Guan,,4864.3,201364.0,
72,72,Citic Pacific,citic-pacific,citic-pacific,Iron & Steel,Hong Kong,49059.0,41408.0,Hong Kong,,Zhen Chang,,5554.8,933555.0,
73,73,Boeing,boeing,boeing,Aerospace & Defense,United States,94571.0,108756.0,Illinois,Illinois,Dennis A. Muilenburg,http://specials-images.forbesimg.com/imageserve/580f8ff731358e238316154a/280x425.jpg?fit=scale&background=000000,4890.0,89997.0,http://specials-images.forbesimg.com/imageserve/57ff947431358e6da6d7e06b/416x416.jpg?background=000000&cropX1=914&cropX2=2868&cropY1=714&cropY2=2667
74,74,Honda Motor,honda-motor,honda-motor,Auto & Truck Manufacturers,Japan,127865.0,51382.0,Japan,,Takahiro Hachigo,http://specials-images.forbesimg.com/imageserve/580fa4cc31358e2383161820/280x425.jpg?fit=scale&background=000000,3931.3,161802.0,http://specials-images.forbesimg.com/imageserve/580fa4cc31358e2383161820/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
75,75,China Minsheng Banking,china-minsheng-banking,china-minsheng-banking,Regional Banks,China,40151.0,43653.0,China,,Qing Duan,,7226.3,848682.0,
76,76,Westpac Banking Group,westpac-banking,westpac-banking,Major Banks,Australia,27764.0,86067.0,Australia,,"Brian Hartzer, CFA",,5475.9,642677.0,
77,77,Deutsche Telekom,deutsche-telekom,deutsche-telekom,Telecommunications services,Germany,80857.0,80001.0,Germany,,Timotheus Höttges,,2959.1,156615.0,
78,78,China Citic Bank,china-citic-bank,china-citic-bank,Regional Banks,China,39664.0,43117.0,China,,Zhen Chang,,6289.1,853450.0,
79,79,Roche Holding,roche-holding,roche-holding,Pharmaceuticals,Switzerland,51338.0,219267.0,Switzerland,,"Severin Schwan, LLD",,9720.2,75583.0,
80,80,UBS,ubs,ubs,Major Banks,Switzerland,37975.0,59983.0,Switzerland,,Sergio P. Ermotti,,3355.8,919974.0,
81,81,Bank of Nova Scotia,bank-of-nova-scotia,bank-of-nova-scotia,Major Banks,Canada,26697.0,70479.0,Canada,,"Brian Johnston Porter, LLD",,5548.7,680339.0,
82,82,Rosneft,rosneft,rosneft,Oil & Gas Operations,Russia,74867.0,62376.0,Russia,,Igor Ivanovich Sechin,,2701.7,193189.0,
83,83,Amazon.com,amazon,amazon,Internet & Catalog Retail,United States,135987.0,427011.0,Washington,Washington,Jeffrey P. Bezos,http://specials-images.forbesimg.com/imageserve/580f8bd331358e2383161454/280x425.jpg?fit=scale&background=000000,2371.0,86022.0,http://specials-images.forbesimg.com/imageserve/57ff93e6a7ea4357a3e01f04/416x416.jpg?background=000000&cropX1=350&cropX2=1246&cropY1=29&cropY2=925
84,84,PepsiCo,pepsico,pepsico,Beverages,United States,62801.0,159406.0,New York,New York,Indra K. Nooyi,,6329.0,74129.0,
85,84,Sumitomo Mitsui Financial,sumitomo-mitsui-financial,sumitomo-mitsui-financial,Major Banks,Japan,30493.0,48067.0,Japan,,Masayuki Oku,,5200.9,1648785.0,
86,86,Coca-Cola,coca-cola,coca-cola,Beverages,United States,41478.0,182883.0,Georgia,Georgia,James Quincey,http://specials-images.forbesimg.com/imageserve/5798d4754bbe6f17e8fbb6f8/280x425.jpg?fit=scale&background=000000,6527.0,87270.0,http://specials-images.forbesimg.com/imageserve/5798d4754bbe6f17e8fbb6f8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
87,87,United Technologies,united-technologies,united-technologies,Conglomerates,United States,57383.0,90583.0,Connecticut,Connecticut,Gregory J. Hayes,,5044.0,89706.0,
88,88,Sanofi,sanofi,sanofi,Pharmaceuticals,France,37413.0,116109.0,France,,Olivier Brandicourt,,5209.1,110403.0,
89,89,Bayer,bayer,bayer,Diversified Chemicals,Germany,51832.0,94382.0,Germany,,Werner Baumann,,5012.2,90086.0,
90,90,Mizuho Financial,mizuho-financial,mizuho-financial,Major Banks,Japan,28974.0,44429.0,Japan,,Yasuhiro Sato,,6038.2,1752330.0,
91,91,Zurich Insurance Group,zurich-insurance-group,zurich-insurance-group,Diversified Insurance,Switzerland,67317.0,40000.0,Switzerland,,Mario Greco,,3210.1,364332.0,
92,92,ANZ,anz,anz,Major Banks,Australia,26528.0,68836.0,Australia,,Shayne Cary Elliott,,4201.9,701007.0,
93,93,BASF,basf,basf,Diversified Chemicals,Germany,63662.0,90952.0,Germany,,Kurt W. Bock,http://specials-images.forbesimg.com/imageserve/580f8e4ca7ea435b91b0756e/280x425.jpg?fit=scale&background=000000,4486.7,83865.0,http://specials-images.forbesimg.com/imageserve/580f8e4ca7ea435b91b0756e/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
94,94,Walgreens Boots Alliance,walgreens-boots-alliance,walgreens-boots-alliance,Drug Retail,United States,116081.0,88995.0,Illinois,Illinois,Stefano Pessina,,4247.0,72505.0,
95,95,Nissan Motor,nissan-motor,nissan-motor,Auto & Truck Manufacturers,Japan,105939.0,38372.0,Japan,,Carlos Ghosn Bichara,http://specials-images.forbesimg.com/imageserve/580fb0cba7ea435b91b07a65/280x425.jpg?fit=scale&background=000000,4465.1,157269.0,http://specials-images.forbesimg.com/imageserve/580fb0cba7ea435b91b07a65/416x416.jpg?background=000000&cropX1=2&cropX2=1248&cropY1=0&cropY2=1246
96,96,US Bancorp,us-bancorp,us-bancorp,Major Banks,United States,22006.0,86608.0,Minnesota,Minnesota,Andrew J. Cecere,,5870.0,450954.0,
97,97,American Express,american-express,american-express,Consumer Financial Services,United States,34001.0,70092.0,New York,New York,Kenneth Irvine Chenault,http://specials-images.forbesimg.com/imageserve/580f8c1c31358e238316145e/280x425.jpg?fit=scale&background=000000,5365.0,158893.0,http://specials-images.forbesimg.com/imageserve/580f8c1c31358e238316145e/416x416.jpg?background=000000&cropX1=2&cropX2=1248&cropY1=0&cropY2=1246
98,98,Hon Hai Precision,hon-hai-precision,hon-hai-precision,Electronics,Taiwan,135151.0,54375.0,Taiwan,,Terry Gou,,4610.0,80426.0,
99,99,Enel,enel,enel,Electric Utilities,Italy,75890.0,47494.0,Italy,,Francesco Starace,http://specials-images.forbesimg.com/imageserve/57a89da84bbe6f2005cb0c77/280x425.jpg?fit=scale&background=000000,2842.9,164115.0,http://specials-images.forbesimg.com/imageserve/57a89da84bbe6f2005cb0c77/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
100,100,Merck,merck-co,merck-co,Pharmaceuticals,United States,39555.0,173328.0,New Jersey,New Jersey,Kenneth C. Frazier,,3920.0,95377.0,
101,100,National Australia Bank,national-australia-bank,national-australia-bank,Major Banks,Australia,24181.0,65024.0,Australia,,Andrew Gregory Thorburn,,4347.6,595327.0,
102,102,PetroChina,petrochina,petrochina,Oil & Gas Operations,China,214760.0,204477.0,China,,Wang Dongjin,,1162.1,344910.0,
103,103,Unilever,unilever,unilever,Household/Personal Care,Netherlands,58311.0,143891.0,Netherlands,,Paulus Gerardus J. Polman,,5734.5,59518.0,
104,104,Hyundai Motor,hyundai-motor,hyundai-motor,Auto & Truck Manufacturers,South Korea,80719.0,34221.0,South Korea,,Mong-Koo Chung,http://specials-images.forbesimg.com/imageserve/580fa596a7ea435b91b07861/280x425.jpg?fit=scale&background=000000,4660.0,148068.0,http://specials-images.forbesimg.com/imageserve/5800e571a7ea4357a3e030f5/416x416.jpg?background=000000&cropX1=211&cropX2=2869&cropY1=0&cropY2=2656
105,105,BBVA-Banco Bilbao Vizcaya,bbva-banco-bilbao-vizcaya,bbva-banco-bilbao-vizcaya,Regional Banks,Spain,27273.0,49646.0,Spain,,Carlos Torres Vila,http://specials-images.forbesimg.com/imageserve/580f8eb9a7ea435b91b07582/280x425.jpg?fit=scale&background=000000,3844.0,771925.0,http://specials-images.forbesimg.com/imageserve/580f8eb9a7ea435b91b07582/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
106,106,Reliance Industries,reliance-industries,reliance-industries,Oil & Gas Operations,India,41792.0,71165.0,India,,Mukesh Dhirubhai Ambani,,4349.1,97895.0,
107,107,Charter Communications,charter-communications,charter-communications,Broadcasting & Cable,United States,29003.0,101619.0,Connecticut,Connecticut,Thomas M. Rutledge,,3522.0,153237.0,
108,108,SAIC Motor,saic-motor,saic-motor,Auto & Truck Manufacturers,China,112725.0,43491.0,China,,Hong Chen,,4818.0,84989.0,
109,109,Chubb,chubb,chubb,Property & Casualty Insurance,Switzerland,31944.0,64031.0,Switzerland,,Evan G. Greenberg,,4135.0,159786.0,
110,110,Telefónica,telefonica,telefonica,Telecommunications services,Spain,57563.0,55893.0,Spain,,José María Álvarez-Pallete López,,2620.7,130410.0,
111,111,AIA Group,aia-group,aia-group,Life & Health Insurance,Hong Kong,26455.0,77076.0,Hong Kong,,Keng Hooi Ng,,4164.0,183028.0,
112,112,Société Générale,societe-generale,societe-generale,Major Banks,France,27985.0,39893.0,France,,Frédéric Oudéa,,4006.6,1457875.0,
113,113,Dow Chemical,dowdupont,no-pic,Diversified Chemicals,United States,48137.0,77033.0,Michigan,Michigan,Andrew N. Liveris,,4294.0,79511.0,
114,114,Home Depot,home-depot,home-depot,Home Improvement Retail,United States,94595.0,176728.0,Georgia,Georgia,Craig A. Menear,http://specials-images.forbesimg.com/imageserve/580fa4754bbe6f0ad5da940e/280x425.jpg?fit=scale&background=000000,7957.0,42966.0,http://specials-images.forbesimg.com/imageserve/5800e28f4bbe6f19f2b52f28/416x416.jpg?background=000000&cropX1=0&cropX2=2006&cropY1=4&cropY2=2011
115,115,Lloyds Banking Group,lloyds-banking-group,lloyds-banking-group,Major Banks,United Kingdom,23405.0,55869.0,United Kingdom,,António Horta-Osório,,2822.7,1010506.0,
