position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1013,1013,Dubai Islamic Bank,dubai-islamic-bank,dubai-islamic-bank,Regional Banks,United Arab Emirates,2299.0,7804.0,United Arab Emirates,,Adnan Abdul Shakoor Chilwan,,843.1,47638.0,
1014,1014,Hikvision,hikvision,hikvision,Electronics,China,4514.0,28898.0,China,,Yang Zhong Hu,,1063.5,5471.0,
1015,1015,Navient,navient,navient,Regional Banks,United States,5042.0,4272.0,Delaware,Delaware,John F. Remondi,,682.0,121136.0,
1016,1016,South32,south32,no-pic,Diversified Metals & Mining,Australia,6047.0,11634.0,Australia,,Graham Kerr,,747.3,14123.0,
1017,1017,Tokyo Electron,tokyo-electron,tokyo-electron,Semiconductors,Japan,6473.0,18053.0,Japan,,Toshiki Kawai,http://specials-images.forbesimg.com/imageserve/5a14552ba7ea432f2e73bc5d/280x425.jpg?fit=scale&background=000000,796.8,7595.0,//specials-images.forbesimg.com/imageserve/5a14552ba7ea432f2e73bc5d/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1018,1018,BDO Unibank,bdo-unibank,bdo-unibank,Regional Banks,Philippines,2594.0,10216.0,Philippines,,Nestor V. Tan,,549.4,46797.0,
1019,1019,Kohl's,kohls,kohls,Department Stores,United States,18686.0,6756.0,Wisconsin,Wisconsin,Kevin Mansell,,555.0,13574.0,
1020,1020,MTN Group,mtn-group,mtn-group,Telecommunications services,South Africa,10067.0,16588.0,South Africa,,Robert Andrew Shuter,,-177.9,19649.0,
1021,1021,WW Grainger,ww-grainger,ww-grainger,Electrical Equipment,United States,10137.0,13463.0,Illinois,Illinois,Donald G. Macpherson,,600.5,5694.0,
1022,1022,Severstal,severstal,severstal,Iron & Steel,Russia,5861.0,12328.0,Russia,,Shevelev Alexander,,1607.7,6718.0,
1023,1023,Sun Pharma Industries,sun-pharma-industries,sun-pharma-industries,Pharmaceuticals,India,4594.0,24870.0,India,,Dilip Shantilal Shanghvi,,1109.4,9078.0,
1024,1024,Weichai Power,weichai-power,weichai-power,Heavy Equipment,China,13925.0,6978.0,China,,Xu Guang Tan,,365.9,24075.0,
1025,1025,Arrow Electronics,arrow-electronics,arrow-electronics,Electronics,United States,23825.0,6310.0,Colorado,Colorado,Michael J. Long,,522.8,14206.0,
1026,1026,Grupa PZU,grupa-pzu,grupa-pzu,Property & Casualty Insurance,Poland,6380.0,8133.0,Poland,,"Pawel Surowka, CFA",http://specials-images.forbesimg.com/imageserve/5a00858e31358e542c04d063/280x425.jpg?fit=scale&background=000000,491.8,29791.0,//specials-images.forbesimg.com/imageserve/5a00858e31358e542c04d063/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1027,1026,PTT Global Chemical,ptt-global-chemical,ptt-global-chemical,Diversified Chemicals,Thailand,9895.0,9481.0,Thailand,,Supattanapong Punmeechaow,,725.7,10979.0,
1028,1028,Bank Leumi,bank-leumi,bank-leumi,Regional Banks,Israel,3898.0,6658.0,Israel,,Rakefet Russak-Aminoach,,727.1,113963.0,
1029,1029,China Resources Pharmaceutical Group,china-resources-pharmaceutical-group,no-pic,Pharmaceuticals,Hong Kong,20188.0,7312.0,Hong Kong,,Chun Cheng Wang,,363.5,17281.0,
1030,1030,Geely Automobile Holdings,geely-automobile-holdings,geely-automobile-holdings,Auto & Truck Manufacturers,Hong Kong,8046.0,12667.0,Hong Kong,,Sheng Yue Gui,,766.6,9725.0,
1031,1031,Insurance Australia Group,insurance-australia-group,insurance-australia-group,Property & Casualty Insurance,Australia,6663.0,10632.0,Australia,,Peter Harmer,,449.8,21192.0,
1032,1032,E-Trade Financial,e-trade-financial,e-trade-financial,Investment Services,United States,2038.0,9582.0,New York,New York,Karl A. Roessner,,552.0,49517.0,
1033,1033,Nintendo,nintendo,nintendo,Recreational Products,Japan,3588.0,32839.0,Japan,,Tatsumi Kimishima,,726.3,12545.0,
1034,1033,Stora Enso,stora-enso,stora-enso,Paper & Paper Products,Finland,10843.0,9511.0,Finland,,Karl-Henrik Sundström,http://specials-images.forbesimg.com/imageserve/5a1d80cf31358e286470ca8c/280x425.jpg?fit=scale&background=000000,512.2,13001.0,//specials-images.forbesimg.com/imageserve/5a1d80cf31358e286470ca8c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1035,1035,BBMG,bbmg,bbmg,Construction Materials,China,6939.0,8873.0,China,,Wei Jiang,,406.9,29987.0,
1036,1036,Seagate Technology,seagate-technology,seagate-technology,Computer Storage Devices,Ireland,10940.0,13829.0,Ireland,,Stephen James Luczo,,513.0,8561.0,
1037,1036,TDK,tdk,tdk,Electronics,Japan,10739.0,7683.0,Japan,,Takehiro Kamigama,,602.8,14376.0,
1038,1036,Uni-President,uni-president,uni-president,Food Processing,Taiwan,12817.0,10428.0,Taiwan,,Jung Lung Hou,,450.4,11747.0,
1039,1039,Rockwell Automation,rockwell-automation,rockwell-automation,Other Industrial Equipment,United States,5946.0,19969.0,Wisconsin,Wisconsin,Blake D. Moret,,758.2,7094.0,
1040,1040,Henry Schein,henry-schein,henry-schein,Medical Equipment & Supplies,United States,11572.0,13269.0,New York,New York,Stanley M. Bergman,,506.8,6730.0,
1041,1041,Meiji Holdings,meiji-holdings,meiji-holdings,Food Processing,Japan,11444.0,12671.0,Japan,,Shigetaro Asano,,530.5,7625.0,
1042,1042,Intuit,intuit,intuit,Software & Programming,United States,4852.0,30300.0,California,California,Brad D. Smith,,793.0,4373.0,
1043,1043,Lixil Group,lixil-group,lixil-group,Construction Materials,Japan,16764.0,7712.0,Japan,,Kinya Seto,,329.6,18499.0,
